/home/shenshiyu/SmartTrafficFramework/dataloader.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.indices = torch.tensor(self.indices.clone().detach(),dtype=torch.int64)
Train epoch     23/100   |  Loss: 0.17931385  |  Acc: 71.06%   |  Acc_inner: 94.16%   |  LR: 0.00087506  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.95   m  |  Total time: 1.83   m
Train epoch     24/100   |  Loss: 0.20904765  |  Acc: 70.39%   |  Acc_inner: 93.28%   |  LR: 0.00086448  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.46   m  |  Backward time: 0.95   m  |  Total time: 1.82   m
Train epoch     25/100   |  Loss: 0.18755840  |  Acc: 70.90%   |  Acc_inner: 93.96%   |  LR: 0.00085355  | Load data time: 0.37...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.48   m  |  Backward time: 1.05   m  |  Total time: 2.00   m
Train epoch     26/100   |  Loss: 0.19430597  |  Acc: 70.54%   |  Acc_inner: 93.48%   |  LR: 0.00084227  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.95   m  |  Total time: 1.82   m
Train epoch     27/100   |  Loss: 0.17362379  |  Acc: 71.21%   |  Acc_inner: 94.37%   |  LR: 0.00083066  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.03   m  |  Total time: 1.93   m
Train epoch     28/100   |  Loss: 0.16806732  |  Acc: 71.31%   |  Acc_inner: 94.50%   |  LR: 0.00081871  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.96   m  |  Total time: 1.83   m
Train epoch     29/100   |  Loss: 0.18084736  |  Acc: 70.95%   |  Acc_inner: 94.03%   |  LR: 0.00080645  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 0.94   m  |  Total time: 1.83   m
Train epoch     30/100   |  Loss: 0.16687840  |  Acc: 71.52%   |  Acc_inner: 94.77%   |  LR: 0.00079389  | Load data time: 0.33...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.45   m  |  Backward time: 0.98   m  |  Total time: 1.85   m
Train epoch     31/100   |  Loss: 0.16580562  |  Acc: 71.47%   |  Acc_inner: 94.70%   |  LR: 0.00078104  | Load data time: 0.34...m  |  Preprocess data time: 0.09   m  |  Forward time: 0.47   m  |  Backward time: 1.03   m  |  Total time: 1.93   m
Train epoch     32/100   |  Loss: 0.15616402  |  Acc: 71.72%   |  Acc_inner: 95.04%   |  LR: 0.00076791  | Load data time: 0.36...m  |  Preprocess data time: 0.10   m  |  Forward time: 0.47   m  |  Backward time: 1.01   m  |  Total time: 1.94   m
