Epoch 0

Step: 31      |  Loss: 2.03583455  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 32      |  Loss: 2.02382803  |  LR 0.001  |  Data Time: 1.03   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 1.17   m
Step: 33      |  Loss: 2.00936079  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 34      |  Loss: 2.01645732  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 35      |  Loss: 2.02339149  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 36      |  Loss: 2.00861812  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 37      |  Loss: 1.99793386  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 38      |  Loss: 1.99580657  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.12   m  |  Replay Time: 0.01   m  |  Total Time: 0.13   m
Step: 39      |  Loss: 1.99242032  |  LR 0.001  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.05   m  |  Replay Time: 0.01   m  |  Total Time: 0.07   m
Epoch: 0       |  Time: 12.73  m  |  Loss 2.1350162804126738

Epoch 1

Step: 0       |  Loss: 1.98818588  |  LR 0.0009997532801828658  |  Data Time: 2.40   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 2.56   m
Step: 1       |  Loss: 1.98105872  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 2       |  Loss: 1.99567533  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 3       |  Loss: 1.99107814  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 4       |  Loss: 1.97207940  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 5       |  Loss: 1.97467673  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 6       |  Loss: 1.97030163  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.16   m
Step: 7       |  Loss: 1.96665680  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.02   m  |  Total Time: 0.16   m
Step: 8       |  Loss: 1.96610117  |  LR 0.0009997532801828658  |  Data Time: 1.14   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 1.30   m
Step: 9       |  Loss: 1.96252298  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 10      |  Loss: 1.96202922  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 11      |  Loss: 1.97226119  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 12      |  Loss: 1.96897459  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 13      |  Loss: 1.94826019  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 14      |  Loss: 1.95216274  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 15      |  Loss: 1.94068670  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 16      |  Loss: 1.94385111  |  LR 0.0009997532801828658  |  Data Time: 1.15   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 1.30   m
Step: 17      |  Loss: 1.93799937  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
Step: 18      |  Loss: 1.94043636  |  LR 0.0009997532801828658  |  Data Time: 0.00   m  |  Preprocess Time: 0.00   m  |  Act Time: 0.14   m  |  Replay Time: 0.01   m  |  Total Time: 0.15   m
